publisher,11,131.32,0,26959.9568,1381957,1,1.8,20000
publisher,11,131.32,0,26959.9568,1381957,2,4.25,20000
publisher,11,131.32,0,26959.9568,1381957,3,1.83,20000
publisher,11,131.32,0,26959.9568,1381957,5,1.5,20000
publisher,11,131.32,0,26959.9568,1381957,7,1.71,20000
publisher,11,131.32,0,26959.9568,1381957,13,1.5,20000
publisher,11,22.696,10.86,804.8679,825882,1,0.66,15000
publisher,11,0,0,9975.297,523790,2,2.31,65000
publisher,11,0,0,9975.297,523790,3,5,20001
publisher,11,0,0,9975.297,523790,7,3,20001
publisher,11,0,0,9975.297,523790,13,2.5,20001
publisher,19,171.9733,0,6105.9448,4027281,1,9,10000
publisher,19,171.9733,0,6105.9448,4027281,3,214.41,2408
publisher,19,171.9733,0,6105.9448,4027281,5,145.89,2408
publisher,19,171.9733,0,6105.9448,4027281,7,329.43,2406
publisher,19,171.9733,0,6105.9448,4027281,13,22.39,2774
publisher,8,66.8183,0,6168.7727,616643,1,13.33,1500
publisher,8,66.8183,0,6168.7727,616643,3,10,2000
publisher,8,66.8183,0,6168.7727,616643,5,4,5000
publisher,8,66.8183,0,6168.7727,616643,6,6.67,3000
publisher,8,66.8183,0,6168.7727,616643,7,6.67,3000
publisher,8,66.8183,0,6168.7727,616643,12,6.67,3000
publisher,12,0,0,9336.4848,612868,1,0.79,50500
publisher,12,0,0,9336.4848,612868,2,0.4,50000
publisher,12,0,0,9336.4848,612868,3,6.67,30000
publisher,12,0,0,9336.4848,612868,5,3.33,30000
publisher,12,0,0,9336.4848,612868,7,4.17,30000
publisher,12,0,0,9336.4848,612868,13,0.2,50000
publisher,9,4140.9395,0,41959.6129,5189641,1,10,10000
publisher,9,4140.9395,0,41959.6129,5189641,3,1.87,315858
publisher,9,4140.9395,0,41959.6129,5189641,5,1.35,315857
publisher,9,4140.9395,0,41959.6129,5189641,7,2.98,315858
publisher,9,4140.9395,0,41959.6129,5189641,13,0.78,112235
publisher,6,280.4215,53.3005,2875.0138,12200023,1,20.5,10000
publisher,6,280.4215,53.3005,2875.0138,12200023,2,20,10000
publisher,6,280.4215,53.3005,2875.0138,12200023,3,10.25,60000
publisher,6,280.4215,53.3005,2875.0138,12200023,5,10.25,60000
publisher,6,280.4215,53.3005,2875.0138,12200023,7,20.5,60000
publisher,6,280.4215,53.3005,2875.0138,12200023,13,3.42,60000
publisher,6,1936.9039,0,5435.8625,15606172,1,8.75,12000
publisher,6,1936.9039,0,5435.8625,15606172,3,1.8,332745
publisher,6,1936.9039,0,5435.8625,15606172,5,1.3,332744
publisher,6,1936.9039,0,5435.8625,15606172,7,2.87,332745
publisher,6,1936.9039,0,5435.8625,15606172,13,0.59,150769
publisher,6,2456.1021,0,56279.9702,11222281,1,11.5,5000
publisher,6,2456.1021,0,56279.9702,11222281,2,10.75,23255
publisher,6,2456.1021,0,56279.9702,11222281,3,10.76,97600
publisher,6,2456.1021,0,56279.9702,11222281,5,10.75,93015
publisher,6,2456.1021,0,56279.9702,11222281,7,10.75,130234
publisher,6,2456.1021,0,56279.9702,11222281,13,10.75,69770
publisher,6,0,0,1975.0394,9346687,1,10,20000
publisher,6,0,0,1975.0394,9346687,3,6.25,80000
